month_year,district_lgd_code,pincode,demo_age_5_17,demo_age_17_,district_label,state
Sep-25,493,415412,4,63,Sangli,Maharashtra
Sep-25,493,415413,2,32,Sangli,Maharashtra
Sep-25,493,415414,0,15,Sangli,Maharashtra
Sep-25,493,415415,2,0,Sangli,Maharashtra
Sep-25,493,416301,17,101,Sangli,Maharashtra
Sep-25,493,416302,9,49,Sangli,Maharashtra
Sep-25,493,416303,3,47,Sangli,Maharashtra
Sep-25,493,416304,4,20,Sangli,Maharashtra
Sep-25,493,416305,2,27,Sangli,Maharashtra
Sep-25,493,416306,9,58,Sangli,Maharashtra
Sep-25,493,416307,0,20,Sangli,Maharashtra
Sep-25,493,416308,6,51,Sangli,Maharashtra
Sep-25,493,416309,7,54,Sangli,Maharashtra
Sep-25,493,416310,15,76,Sangli,Maharashtra
Sep-25,493,416311,10,88,Sangli,Maharashtra
Sep-25,493,416312,29,306,Sangli,Maharashtra
Sep-25,493,416313,6,45,Sangli,Maharashtra
Sep-25,493,416314,3,53,Sangli,Maharashtra
Sep-25,493,416315,3,12,Sangli,Maharashtra
Sep-25,493,416316,0,19,Sangli,Maharashtra
Sep-25,493,416401,0,17,Sangli,Maharashtra
Sep-25,493,416402,14,106,Sangli,Maharashtra
Sep-25,493,416403,11,128,Sangli,Maharashtra
Sep-25,493,416404,61,604,Sangli,Maharashtra
Sep-25,493,416405,14,182,Sangli,Maharashtra
Sep-25,493,416406,2,13,Sangli,Maharashtra
Sep-25,493,416407,6,31,Sangli,Maharashtra
Sep-25,493,416408,7,70,Sangli,Maharashtra
Sep-25,493,416409,2,30,Sangli,Maharashtra
Sep-25,493,416410,34,404,Sangli,Maharashtra
Sep-25,493,416411,4,31,Sangli,Maharashtra
Sep-25,493,416412,23,258,Sangli,Maharashtra
Sep-25,493,416413,20,273,Sangli,Maharashtra
Sep-25,493,416414,5,7,Sangli,Maharashtra
Sep-25,493,416415,9,76,Sangli,Maharashtra
Sep-25,493,416416,85,712,Sangli,Maharashtra
Sep-25,493,416417,0,16,Sangli,Maharashtra
Sep-25,493,416418,3,67,Sangli,Maharashtra
Sep-25,493,416419,4,39,Sangli,Maharashtra
Sep-25,493,416420,2,6,Sangli,Maharashtra
Sep-25,493,416422,1,4,Sangli,Maharashtra
Sep-25,493,416436,5,50,Sangli,Maharashtra
Sep-25,494,412206,15,189,Satara,Maharashtra
Sep-25,494,412801,13,141,Satara,Maharashtra
Sep-25,494,412802,22,116,Satara,Maharashtra
Sep-25,494,412803,23,248,Satara,Maharashtra
Sep-25,494,412804,1,27,Satara,Maharashtra
Sep-25,494,412805,5,56,Satara,Maharashtra
Sep-25,494,412806,14,154,Satara,Maharashtra
Sep-25,494,415001,12,132,Satara,Maharashtra
Sep-25,494,415002,24,306,Satara,Maharashtra
Sep-25,494,415003,5,67,Satara,Maharashtra
Sep-25,494,415004,10,135,Satara,Maharashtra
Sep-25,494,415010,8,62,Satara,Maharashtra
Sep-25,494,415011,8,112,Satara,Maharashtra
Sep-25,494,415012,8,37,Satara,Maharashtra
Sep-25,494,415013,5,94,Satara,Maharashtra
Sep-25,494,415014,17,113,Satara,Maharashtra
Sep-25,494,415015,4,90,Satara,Maharashtra
Sep-25,494,415019,6,28,Satara,Maharashtra
Sep-25,494,415020,3,23,Satara,Maharashtra
Sep-25,494,415021,9,38,Satara,Maharashtra
Sep-25,494,415022,2,35,Satara,Maharashtra
Sep-25,494,415023,1,18,Satara,Maharashtra
Sep-25,494,415102,4,44,Satara,Maharashtra
Sep-25,494,415103,6,50,Satara,Maharashtra
Sep-25,494,415104,1,20,Satara,Maharashtra
Sep-25,494,415105,5,52,Satara,Maharashtra
Sep-25,494,415106,10,75,Satara,Maharashtra
Sep-25,494,415107,2,29,Satara,Maharashtra
Sep-25,494,415108,1,36,Satara,Maharashtra
Sep-25,494,415109,11,113,Satara,Maharashtra
Sep-25,494,415110,10,124,Satara,Maharashtra
Sep-25,494,415111,6,81,Satara,Maharashtra
Sep-25,494,415112,21,156,Satara,Maharashtra
Sep-25,494,415114,5,50,Satara,Maharashtra
Sep-25,494,415115,2,15,Satara,Maharashtra
Sep-25,494,415116,4,27,Satara,Maharashtra
Sep-25,494,415122,3,19,Satara,Maharashtra
Sep-25,494,415124,15,151,Satara,Maharashtra
Sep-25,494,415205,10,49,Satara,Maharashtra
Sep-25,494,415206,22,308,Satara,Maharashtra
Sep-25,494,415207,6,81,Satara,Maharashtra
Sep-25,494,415209,4,14,Satara,Maharashtra
Sep-25,494,415211,1,13,Satara,Maharashtra
Sep-25,494,415212,0,5,Satara,Maharashtra
Sep-25,494,415312,5,60,Satara,Maharashtra
Sep-25,494,415501,25,191,Satara,Maharashtra
Sep-25,494,415502,14,76,Satara,Maharashtra
Sep-25,494,415503,2,29,Satara,Maharashtra
Sep-25,494,415504,2,32,Satara,Maharashtra
Sep-25,494,415505,5,41,Satara,Maharashtra
Sep-25,494,415506,19,82,Satara,Maharashtra
Sep-25,494,415507,9,54,Satara,Maharashtra
Sep-25,494,415508,30,198,Satara,Maharashtra
Sep-25,494,415509,22,174,Satara,Maharashtra
Sep-25,494,415510,0,20,Satara,Maharashtra
Sep-25,494,415511,12,97,Satara,Maharashtra
Sep-25,494,415512,5,84,Satara,Maharashtra
Sep-25,494,415513,7,26,Satara,Maharashtra
Sep-25,494,415514,3,51,Satara,Maharashtra
Sep-25,494,415515,6,21,Satara,Maharashtra
Sep-25,494,415516,0,13,Satara,Maharashtra
Sep-25,494,415517,2,20,Satara,Maharashtra
Sep-25,494,415518,2,25,Satara,Maharashtra
Sep-25,494,415519,19,113,Satara,Maharashtra
Sep-25,494,415520,4,36,Satara,Maharashtra
Sep-25,494,415521,26,242,Satara,Maharashtra
Sep-25,494,415522,3,93,Satara,Maharashtra
Sep-25,494,415523,59,616,Satara,Maharashtra
Sep-25,494,415524,4,52,Satara,Maharashtra
Sep-25,494,415525,8,82,Satara,Maharashtra
Sep-25,494,415526,4,34,Satara,Maharashtra
Sep-25,494,415527,3,37,Satara,Maharashtra
Sep-25,494,415528,3,110,Satara,Maharashtra
Sep-25,494,415530,0,20,Satara,Maharashtra
Sep-25,494,415536,5,10,Satara,Maharashtra
Sep-25,494,415537,4,59,Satara,Maharashtra
Sep-25,494,415538,5,53,Satara,Maharashtra
Sep-25,494,415539,19,119,Satara,Maharashtra
Sep-25,494,415540,6,51,Satara,Maharashtra
Sep-25,495,416510,26,322,Sindhudurg,Maharashtra
Sep-25,495,416511,4,79,Sindhudurg,Maharashtra
Sep-25,495,416512,0,127,Sindhudurg,Maharashtra
Sep-25,495,416513,1,10,Sindhudurg,Maharashtra
Sep-25,495,416514,3,33,Sindhudurg,Maharashtra
Sep-25,495,416515,0,4,Sindhudurg,Maharashtra
Sep-25,495,416516,6,70,Sindhudurg,Maharashtra
Sep-25,495,416517,1,13,Sindhudurg,Maharashtra
Sep-25,495,416518,3,75,Sindhudurg,Maharashtra
Sep-25,495,416519,2,44,Sindhudurg,Maharashtra
Sep-25,495,416520,8,100,Sindhudurg,Maharashtra
Sep-25,495,416521,2,24,Sindhudurg,Maharashtra
Sep-25,495,416522,0,19,Sindhudurg,Maharashtra
Sep-25,495,416523,2,17,Sindhudurg,Maharashtra
Sep-25,495,416524,1,29,Sindhudurg,Maharashtra
Sep-25,495,416525,0,18,Sindhudurg,Maharashtra
Sep-25,495,416528,1,13,Sindhudurg,Maharashtra
Sep-25,495,416529,3,14,Sindhudurg,Maharashtra
Sep-25,495,416531,3,32,Sindhudurg,Maharashtra
Sep-25,495,416534,16,25,Sindhudurg,Maharashtra
Sep-25,495,416549,0,18,Sindhudurg,Maharashtra
Sep-25,495,416601,2,107,Sindhudurg,Maharashtra
Sep-25,495,416602,15,237,Sindhudurg,Maharashtra
Sep-25,495,416603,1,44,Sindhudurg,Maharashtra
Sep-25,495,416604,1,13,Sindhudurg,Maharashtra
Sep-25,495,416605,0,14,Sindhudurg,Maharashtra
Sep-25,495,416606,5,64,Sindhudurg,Maharashtra
Sep-25,495,416608,0,13,Sindhudurg,Maharashtra
Sep-25,495,416609,3,63,Sindhudurg,Maharashtra
Sep-25,495,416610,3,22,Sindhudurg,Maharashtra
Sep-25,495,416611,4,43,Sindhudurg,Maharashtra
Sep-25,495,416612,10,74,Sindhudurg,Maharashtra
Sep-25,495,416613,5,41,Sindhudurg,Maharashtra
Sep-25,495,416614,5,40,Sindhudurg,Maharashtra
Sep-25,495,416615,2,23,Sindhudurg,Maharashtra
Sep-25,495,416616,3,24,Sindhudurg,Maharashtra
Sep-25,495,416620,2,29,Sindhudurg,Maharashtra
Sep-25,495,416623,2,24,Sindhudurg,Maharashtra
Sep-25,495,416626,0,11,Sindhudurg,Maharashtra
Sep-25,495,416628,1,8,Sindhudurg,Maharashtra
Sep-25,495,416630,3,35,Sindhudurg,Maharashtra
Sep-25,495,416632,2,9,Sindhudurg,Maharashtra
Sep-25,495,416703,4,61,Sindhudurg,Maharashtra
Sep-25,495,416801,1,52,Sindhudurg,Maharashtra
Sep-25,495,416803,0,10,Sindhudurg,Maharashtra
Sep-25,495,416804,2,28,Sindhudurg,Maharashtra
Sep-25,495,416805,4,50,Sindhudurg,Maharashtra
Sep-25,495,416806,1,22,Sindhudurg,Maharashtra
Sep-25,495,416807,1,31,Sindhudurg,Maharashtra
Sep-25,495,416810,10,128,Sindhudurg,Maharashtra
Sep-25,495,416811,0,107,Sindhudurg,Maharashtra
Sep-25,495,416812,1,35,Sindhudurg,Maharashtra
Sep-25,496,413001,24,252,Solapur,Maharashtra
Sep-25,496,413002,53,367,Solapur,Maharashtra
Sep-25,496,413003,43,282,Solapur,Maharashtra
Sep-25,496,413004,18,205,Solapur,Maharashtra
Sep-25,496,413005,21,229,Solapur,Maharashtra
Sep-25,496,413006,45,383,Solapur,Maharashtra
Sep-25,496,413007,0,33,Solapur,Maharashtra
Sep-25,496,413008,5,33,Solapur,Maharashtra
Sep-25,496,413101,14,176,Solapur,Maharashtra
Sep-25,496,413107,17,139,Solapur,Maharashtra
Sep-25,496,413108,5,53,Solapur,Maharashtra
Sep-25,496,413109,27,269,Solapur,Maharashtra
Sep-25,496,413111,6,90,Solapur,Maharashtra
Sep-25,496,413112,14,164,Solapur,Maharashtra
Sep-25,496,413113,30,268,Solapur,Maharashtra
Sep-25,496,413118,3,64,Solapur,Maharashtra
Sep-25,496,413202,30,366,Solapur,Maharashtra
